tweet_date,word,n
2018-12-07,world,4879
2018-12-07,time,4798
2018-12-01,history,4755
2018-12-07,funeral,4610
2018-12-07,presidential,4325
2018-12-07,youre,4238
2018-12-01,korean,4203
2018-12-07,bush,4182
2018-11-28,mississippi,4053
2018-12-01,hard,4042
2018-12-07,donald,4022
2018-12-01,north,4017
2018-12-01,alaska,3972
2018-12-01,nafta,3954
2018-12-01,usmca,3843
2018-12-01,american,3827
2018-11-28,mueller,3810
2018-12-01,hit,3688
2018-12-01,follow,3686
2018-11-28,congratulations,3663
2018-12-01,train,3545
2018-12-01,directions,3497
2018-12-01,didnt,3446
2018-11-30,president,3300
2018-11-28,cindy,3279
2018-12-01,russia,3244
2018-11-28,trump,3201
2018-11-28,senator,3174
2018-12-01,question,3156
2018-11-28,proud,3108
2018-12-01,donald,3093
2018-12-01,isnt,3068
2018-12-01,provide,3035
2018-12-01,care,3032
2018-12-01,trade,2989
2018-11-28,win,2836
2018-12-01,health,2827
2018-11-28,witch,2754
2018-11-28,hydesmith,2604
2018-11-30,argentina,2590
2018-12-06,oil,2562
2018-11-28,wearing,2520
2018-11-28,victory,2519
2018-11-30,tax,2498
2018-11-28,voting,2441
2018-11-28,brenda,2431
2018-11-28,charge,2425
2018-11-28,president,2424
2018-11-28,snipes,2407
2018-11-28,beautiful,2379
2018-12-06,china,2368
2018-11-28,dress,2357
2018-11-28,county,2348
2018-11-28,spotted,2342
2018-11-28,florida,2340
2018-11-28,broward,2337
2018-11-30,dollars,2321
2018-11-28,hillary,2265
2018-12-06,president,2264
2018-11-28,hunt,2213
2018-11-30,book,2194
2018-11-28,people,2184
2018-11-30,government,2164
2018-11-28,seats,2153
2018-11-30,history,2128
2018-11-30,military,2095
2018-11-28,border,2083
2018-11-30,spending,2049
2018-11-30,provide,2040
2018-11-30,breaks,2037
2018-11-30,trillion,2026
2018-11-30,bi,2021
2018-11-30,richest,2017
2018-11-30,expand,2015
2018-11-28,clinton,1958
2018-11-28,senate,1946
2018-11-30,hes,1945
2018-11-30,crimes,1919
2018-11-30,dershowitz,1871
2018-12-06,trump,1850
2018-12-06,world,1783
2018-11-30,alan,1725
2018-11-30,cohen,1695
2018-11-30,authority,1625
2018-11-30,commissioner,1590
2018-11-30,roving,1590
2018-12-02,president,1584
2018-11-30,russia,1583
2018-11-30,evi,1580
2018-12-06,pr,1444
2018-12-06,people,1427
2018-11-30,country,1426
2018-11-30,written,1412
2018-11-30,senate,1367
2018-12-06,bush,1290
2018-12-06,hard,1284
2018-12-02,trump,1233
2018-11-20,trump,1204
2018-12-06,opec,1161
2018-11-20,pakistan,1146
2018-12-06,keeping,1121
2018-12-06,flows,1103
2018-12-06,restricted,1099
2018-11-20,bin,1094
2018-11-20,laden,1082
2018-12-06,funeral,1065
2018-11-20,juan,1010
2018-12-06,time,967
2018-12-06,mueller,954
2018-12-02,people,941
2018-11-20,people,939
2018-12-02,didnt,914
2018-12-06,family,905
2018-12-06,day,874
2018-12-02,bush,859
2018-11-20,president,804
2018-12-06,trumps,796
2018-11-20,hope,778
2018-11-20,san,741
2018-11-20,discovery,723
2018-12-06,donald,723
2018-11-20,wonderful,722
2018-11-20,argentine,721
2018-11-20,brings,721
2018-11-20,closure,719
2018-11-20,eventual,719
2018-11-20,recovery,719
2018-11-20,submarine,719
2018-12-06,agreed,718
2018-12-06,forward,704
2018-12-06,including,702
2018-12-06,deal,699
2018-12-06,american,693
2018-11-20,united,692
2018-11-20,fake,687
2018-11-20,money,667
2018-12-02,explain,663
2018-11-20,obama,645
2018-12-06,worst,645
2018-12-06,flynn,640
2018-11-20,news,633
2018-12-02,american,632
2018-12-06,dangerous,621
2018-12-06,deadly,620
2018-12-06,youre,603
2018-11-20,pay,578
2018-11-20,class,561
2018-11-20,military,560
2018-12-02,george,548
2018-11-20,massive,546
2018-11-20,decades,543
2018-11-20,warfare,541
2018-11-20,osama,535
2018-11-20,ongoing,532
2018-12-02,fcups,507
2018-12-02,hw,503
2018-12-02,tax,492
2018-12-02,time,487
2018-12-02,sweetlex,472
2018-12-02,dossier,450
2018-12-02,traitor,442
2018-12-02,trumps,440
2018-12-02,rich,428
2018-12-02,campaign,425
2018-12-02,repeatedly,406
2018-12-02,promised,403
2018-12-02,gain,402
2018-12-02,family,396
2018-12-02,real,389
2018-12-02,pay,378
2018-12-02,obama,369
2018-12-02,milano,366
2018-12-02,life,363
2018-12-02,world,363
2018-12-02,taxes,340
2018-12-02,income,337
2018-12-08,voter,324
2018-12-08,expand,320
2018-12-08,trump,234
2018-12-08,democrats,225
2018-12-08,people,219
2018-12-08,united,210
2018-12-08,candidate,207
2018-12-08,respect,201
2018-12-08,choose,200
2018-12-08,builds,199
2018-12-08,tremendous,199
2018-12-08,citizens,163
2018-12-08,democracy,163
2018-12-08,rest,161
2018-12-08,vibrant,161
2018-12-08,creating,160
2018-12-08,overturn,160
2018-12-08,registration,160
2018-12-08,steps,160
2018-12-08,turnout,160
2018-12-08,american,154
2018-12-08,campaign,150
2018-12-08,rich,146
2018-12-08,president,145
2018-12-08,repeatedly,142
2018-12-08,promised,141
2018-12-08,gaining,140
2018-12-08,individual,111
2018-12-08,bernie,105
2018-12-08,youre,91
